"TCG region",Expansion,"Card number","Card number sorting order","Card name",Rarity,"Card variant","Card language","Card condition","Additional card grade label",Quantity
International,"Scarlet & Violet",131/198,131,"Toxicroak ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",132/198,132,Pawniard,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",133/198,133,Bisharp,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",134/198,134,Kingambit,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",135/198,135,Maschiff,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",136/198,136,Maschiff,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",137/198,137,Mabosstiff,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",138/198,138,Bombirdier,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",139/198,139,Forretress,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",140/198,140,Varoom,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",141/198,141,Varoom,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",142/198,142,Revavroom,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",143/198,143,"Iron Treads ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",144/198,144,Chansey,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",145/198,145,Blissey,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",146/198,146,Zangoose,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",147/198,147,Zangoose,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",148/198,148,Starly,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",149/198,149,Staravia,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",150/198,150,Staraptor,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",151/198,151,Skwovet,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",152/198,152,Greedent,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",153/198,153,Indeedee,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",154/198,154,Lechonk,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",155/198,155,Lechonk,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",156/198,156,Lechonk,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",157/198,157,Oinkologne,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",158/198,158,"Oinkologne ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",159/198,159,Tandemaus,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",160/198,160,Tandemaus,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",161/198,161,Maushold,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",162/198,162,Squawkabilly,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",163/198,163,Cyclizar,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",164/198,164,Cyclizar,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",165/198,165,Flamigo,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",166/198,166,Arven,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",167/198,167,"Beach Court",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",168/198,168,"Crushing Hammer",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",169/198,169,"Defiance Band",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",170/198,170,"Electric Generator",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",171/198,171,"Energy Retrieval",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",172/198,172,"Energy Search",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",173/198,173,"Energy Switch",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",174/198,174,"Exp. Share",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",175/198,175,Jacq,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",176/198,176,Judge,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",177/198,177,Katy,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",178/198,178,Mesagoza,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",179/198,179,Miriam,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",180/198,180,Nemona,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",182/198,182,"Pal Pad",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",183/198,183,Penny,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",184/198,184,"Picnic Basket",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",185/198,185,"Poké Ball",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",186/198,186,"Pokégear 3.0",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",187/198,187,"Pokémon Catcher",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",188/198,188,Potion,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",189/198,189,"Professor's Research",Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",190/198,190,"Professor's Research",Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",191/198,191,"Rare Candy",Common,Normal,English,Mint,,1
International,"Scarlet & Violet",192/198,192,"Rock Chestplate",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",193/198,193,"Rocky Helmet",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",194/198,194,Switch,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",195/198,195,"Team Star Grunt",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",196/198,196,"Ultra Ball",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",197/198,197,"Vitality Band",Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",198/198,198,Youngster,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",001/159,1,Oddish,Common,Normal,English,Mint,,1
International,"Crown Zenith",002/159,2,Gloom,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",003/159,3,Bellossom,Rare,Normal,English,Mint,,1
International,"Crown Zenith",004/159,4,Tangela,Common,Normal,English,Mint,,1
International,"Crown Zenith",005/159,5,Tangrowth,Rare,Normal,English,Mint,,1
International,"Crown Zenith",006/159,6,Scyther,Common,Normal,English,Mint,,1
International,"Crown Zenith",007/159,7,Sunkern,Common,Normal,English,Mint,,1
International,"Crown Zenith",008/159,8,Yanma,Common,Normal,English,Mint,,1
International,"Crown Zenith",009/159,9,Yanmega,Rare,Normal,English,Mint,,1
International,"Crown Zenith",010/159,10,Kricketot,Common,Normal,English,Mint,,1
International,"Crown Zenith",011/159,11,Cherubi,Common,Normal,English,Mint,,1
International,"Crown Zenith",012/159,12,Carnivine,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",015/159,15,Grubbin,Common,Normal,English,Mint,,1
International,"Crown Zenith",016/159,16,Zarude,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",017/159,17,Calyrex,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",021/159,21,Entei,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",024/159,24,Larvesta,Common,Normal,English,Mint,,1
International,"Crown Zenith",025/159,25,Volcarona,Rare,Normal,English,Mint,,1
International,"Crown Zenith",026/159,26,Volcanion,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",027/159,27,Salandit,Common,Normal,English,Mint,,1
International,"Crown Zenith",028/159,28,Salazzle,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",029/159,29,Seel,Common,Normal,English,Mint,,1
International,"Crown Zenith",030/159,30,"Galarian Mr. Mime",Common,Normal,English,Mint,,1
International,"Crown Zenith",031/159,31,Wailmer,Common,Normal,English,Mint,,1
International,"Crown Zenith",032/159,32,Wailord,Rare,Normal,English,Mint,,1
International,"Crown Zenith",033/159,33,Corphish,Common,Normal,English,Mint,,1
International,"Crown Zenith",034/159,34,Snorunt,Common,Normal,English,Mint,,1
International,"Crown Zenith",035/159,35,Luvdisc,Common,Normal,English,Mint,,1
International,"Crown Zenith",036/159,36,Kyogre,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",039/159,39,Shinx,Common,Normal,English,Mint,,1
International,"Crown Zenith",040/159,40,Shinx,Common,Normal,English,Mint,,1
International,"Crown Zenith",041/159,41,Luxio,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",042/159,42,Luxio,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",043/159,43,Luxray,Rare,Normal,English,Mint,,1
International,"Crown Zenith",044/159,44,Luxray,Rare,Normal,English,Mint,,1
International,"Crown Zenith",047/159,47,Emolga,Common,Normal,English,Mint,,1
International,"Crown Zenith",048/159,48,Eelektrik,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",049/159,49,Helioptile,Common,Normal,English,Mint,,1
International,"Crown Zenith",050/159,50,Heliolisk,Rare,Normal,English,Mint,,1
International,"Crown Zenith",051/159,51,"Radiant Charjabug","Radiant Rare","Normal Holo",English,Mint,,1
International,"Crown Zenith",052/159,52,Zeraora,Rare,Normal,English,Mint,,1
International,"Crown Zenith",056/159,56,Pincurchin,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",057/159,57,Exeggcute,Common,Normal,English,Mint,,1
International,"Crown Zenith",058/159,58,Exeggutor,Rare,Normal,English,Mint,,1
International,"Crown Zenith",059/159,59,Mewtwo,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",061/159,61,Girafarig,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",062/159,62,Lunatone,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",063/159,63,Dusclops,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",067/159,67,Enamorus,Rare,Normal,English,Mint,,1
International,"Crown Zenith",068/159,68,Graveler,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",069/159,69,Solrock,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",070/159,70,Baltoy,Common,Normal,English,Mint,,1
International,"Crown Zenith",071/159,71,Riolu,Common,Normal,English,Mint,,1
International,"Crown Zenith",072/159,72,Pancham,Common,Normal,English,Mint,,1
International,"Crown Zenith",073/159,73,Rockruff,Common,Normal,English,Mint,,1
International,"Crown Zenith",074/159,74,Lycanroc,Rare,Normal,English,Mint,,1
International,"Crown Zenith",075/159,75,Koffing,Common,Normal,English,Mint,,1
International,"Crown Zenith",076/159,76,Absol,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",077/159,77,Purrloin,Common,Normal,English,Mint,,1
International,"Crown Zenith",078/159,78,Liepard,Rare,Normal,English,Mint,,1
International,"Crown Zenith",079/159,79,Krokorok,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",080/159,80,Pangoro,Rare,Normal,English,Mint,,1
International,"Crown Zenith",081/159,81,Skrelp,Common,Normal,English,Mint,,1
International,"Crown Zenith",082/159,82,Dragalge,Rare,Normal,English,Mint,,1
International,"Crown Zenith",083/159,83,Hoopa,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",084/159,84,"Galarian Meowth",Common,Normal,English,Mint,,1
International,"Crown Zenith",085/159,85,"Galarian Perrserker",Rare,Normal,English,Mint,,1
International,"Crown Zenith",086/159,86,Scizor,Rare,Normal,English,Mint,,1
International,"Crown Zenith",087/159,87,Aron,Common,Normal,English,Mint,,1
International,"Crown Zenith",088/159,88,Lairon,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",089/159,89,Aggron,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",090/159,90,Metang,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",091/159,91,Pawniard,Common,Normal,English,Mint,,1
International,"Crown Zenith",093/159,93,Bisharp,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",094/159,94,Zacian,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",097/159,97,Zamazenta,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",105/159,105,"Radiant Eternatus","Radiant Rare","Normal Holo",English,Mint,,1
International,"Crown Zenith",106/159,106,Tauros,Rare,Normal,English,Mint,,1
International,"Crown Zenith",107/159,107,Ditto,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",109/159,109,Snorlax,Rare,Normal,English,Mint,,1
International,"Crown Zenith",110/159,110,Starly,Common,Normal,English,Mint,,1
International,"Crown Zenith",111/159,111,Bidoof,Common,Normal,English,Mint,,1
International,"Crown Zenith",112/159,112,Chatot,Common,Normal,English,Mint,,1
International,"Crown Zenith",115/159,115,Shaymin,Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",116/159,116,"Stoutland V","Holo Rare V","Normal Holo",English,Mint,,1
International,"Crown Zenith",117/159,117,Yungoos,Common,Normal,English,Mint,,1
International,"Crown Zenith",118/159,118,Gumshoos,Rare,Normal,English,Mint,,1
International,"Crown Zenith",119/159,119,Oranguru,Rare,Normal,English,Mint,,1
International,"Crown Zenith",121/159,121,Wooloo,Common,Normal,English,Mint,,1
International,"Crown Zenith",122/159,122,Dubwool,Rare,Normal,English,Mint,,1
International,"Crown Zenith",124/159,124,Bede,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",125/159,125,"Crushing Hammer",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",126/159,126,"Digging Duo",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",127/159,127,"Energy Retrieval",Common,Normal,English,Mint,,1
International,"Crown Zenith",128/159,128,"Energy Search",Common,Normal,English,Mint,,1
International,"Crown Zenith",130/159,130,"Friends in Hisui",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",131/159,131,"Friends in Sinnoh",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",132/159,132,"Great Ball",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",133/159,133,Hop,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",134/159,134,Leon,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",135/159,135,"Lost Vacuum",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",136/159,136,Nessa,"Rare Holo","Normal Holo",English,Mint,,1
International,"Crown Zenith",137/159,137,"Poké Ball",Common,Normal,English,Mint,,1
International,"Crown Zenith",138/159,138,"Pokémon Catcher",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",139/159,139,Potion,Common,Normal,English,Mint,,1
International,"Crown Zenith",141/159,141,"Rare Candy",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",142/159,142,"Rescue Carrier",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",144/159,144,Switch,Common,Normal,English,Mint,,1
International,"Crown Zenith",145/159,145,"Trekking Shoes",Uncommon,Normal,English,Mint,,1
International,"Crown Zenith",146/159,146,"Ultra Ball",Uncommon,Normal,English,Mint,,1
International,"Silver Tempest",001/195,1,Venonat,Common,Normal,English,Mint,,1
International,"Silver Tempest",002/195,2,Venomoth,Uncommon,Normal,English,Mint,,1
International,"Silver Tempest",003/195,3,Spinarak,Common,Normal,English,Mint,,1
International,"Silver Tempest",004/195,4,Ariados,"Rare Holo","Normal Holo",English,Mint,,1
International,"Silver Tempest",005/195,5,Sunkern,Common,Normal,English,Mint,,1
International,"Silver Tempest",006/195,6,Sunflora,Uncommon,Normal,English,Mint,,1
International,"Silver Tempest",009/195,9,Petilil,Common,Normal,English,Mint,,1
International,"Silver Tempest",010/195,10,"Hisuian Lilligant",Rare,Normal,English,Mint,,1
International,"Silver Tempest",011/195,11,Foongus,Common,Normal,English,Mint,,1
International,"Silver Tempest",012/195,12,Amoonguss,Rare,Normal,English,Mint,,1
International,"Silver Tempest",013/195,13,Durant,Common,Normal,English,Mint,,1
International,"Silver Tempest",014/195,14,Virizion,Rare,Normal,English,Mint,,1
International,"Silver Tempest",015/195,15,"Chesnaught V","Holo Rare V","Normal Holo",English,Mint,,1
International,"Silver Tempest",017/195,17,Vulpix,Common,Normal,English,Mint,,1
International,"Silver Tempest",018/195,18,Ninetales,Uncommon,Normal,English,Mint,,1
International,"Silver Tempest",019/195,19,Growlithe,Common,Normal,English,Mint,,1
International,"Silver Tempest",020/195,20,Arcanine,Rare,Normal,English,Mint,,1
International,"Silver Tempest",021/195,21,Ponyta,Common,Normal,English,Mint,,1
International,"Silver Tempest",022/195,22,Rapidash,"Rare Holo","Normal Holo",English,Mint,,1
International,"Silver Tempest",023/195,23,Victini,Rare,Normal,English,Mint,,1
International,"Silver Tempest",025/195,25,Fennekin,Common,Normal,English,Mint,,1
International,"Silver Tempest",026/195,26,Braixen,Uncommon,Normal,English,Mint,,1
International,"Silver Tempest",027/195,27,Delphox,Rare,Normal,English,Mint,,1
